pair_id	median_1p36_21	median_1p36_11	median_1p35_2	median_1p31_3	median_1q21_3	median_1q22	median_1q32_2	median_1q42_13	median_2p11_2	median_2q12_2	median_2q13	median_2q31_1	median_3p22_3	median_3p21_31	median_3p13	median_4q35_1	median_5p15_33	median_5q32	median_5q35_3	median_5q35_3_1	median_6p21_32	median_6q21	median_6q25_3	median_7p22_2	median_7q11_23	median_7q11_23_1	median_7q36_1	median_8p11_23	median_9p21_3	median_9q34_3	median_10p12_2	median_10q22_2	median_10q24_2	median_10q24_32	median_11q13_4	median_11q22_3	median_12p13_31	median_12p13_31_1	median_13q12_11	median_13q14_13	median_13q14_3	median_14q32_12	median_14q32_33	median_15q15_1	median_15q15_1_1	median_15q26_1	median_16p13_3	median_16p11_2	median_16q22_1	median_17p13_3	median_17p13_1	median_17q11_1	median_17q11_2	median_17q23_1	median_17q23_3	median_17q25_1	median_18q21_2	median_19p13_11	median_20p11_22	median_1q42_12	median_2p11_2_1	median_2q12_2_1	median_2q31_1_1	median_4q31_21	median_7q36_1_1	median_8q12_1	median_9q22_32	median_10q11_21	median_11q22_3_1	median_13q12_11_1	median_13q14_2	median_14q32_12_1	median_15q25_2	median_15q26_1_1	median_16p11_2_1	median_16q22_1_1	median_17p11_2	median_17q11_2_1	median_17q22	median_19p13_12	median_19q13_33	median_22q12_1	median_22q13_2	median_1p36_21_1	median_1p36_11_1	median_1q23_2	median_2p13_3	median_3p21_31_1	median_3q21_1	median_7p22_1	median_10q21_3	median_15q15_1_2	median_16p13_3_1	median_17q23_2	median_18q11_2	median_19q13_12
016_pair	-1.113558e-04	0	0	-5.463600e-04	-1.187185e-02	-7.540813e-03	4.468752e-03	3.616388e-03	2.352259e-03	8.412773e-03	8.412773e-03	-6.239758e-03	-6.029304e-04	0	-1.693018e-03	-2.139777e-03	7.967277e-03	1.098753e-02	2.249398e-02	2.249398e-02	-1.267773e-03	-1.264100e-03	-1.192368e-01	0	8.641282e-03	8.641282e-03	6.149310e-03	0	0	1.751364e-02	-6.255041e-03	-7.202449e-04	1.480343e-03	-4.138259e-01	-1.033261e-03	-8.677762e-03	-3.690566e-01	-4.961322e-03	2.190008e-03	-1.002663e-03	-1.002663e-03	3.635703e-03	3.635703e-03	1.347390e-04	1.347390e-04	1.148615e-02	1.090183e-02	-1.749707e-03	-4.089585e-03	0	0	7.088088e-02	1.731912e-03	-2.266478e-03	-2.266478e-03	0	0	-2.254664e-04	0	3.616388e-03	2.352259e-03	8.412773e-03	-6.239758e-03	-5.950664e-03	6.149310e-03	6.286071e-03	-3.032968e-03	1.793710e-02	-8.677762e-03	2.190008e-03	-1.002663e-03	3.635703e-03	-9.108373e-04	9.753254e-03	-1.749707e-03	-4.089585e-03	-3.567019e-02	1.731912e-03	-2.266478e-03	-2.254664e-04	0	2.962707e-03	0	-1.113558e-04	0	-3.754677e-01	-1.689986e-03	0	0	0	-7.202449e-04	1.347390e-04	1.090183e-02	-2.266478e-03	-5.810878e-03	-7.968001e-03
019_pair	1.193835e-02	-1.433652e-02	-1.433652e-02	0	2.144049e-02	2.144049e-02	-2.040911e-02	1.153122e-02	-2.209436e-02	-2.680388e-04	-1.778651e-02	-3.012040e-03	0	-2.481635e-02	-4.247846e-04	9.832741e-03	2.018337e-02	0	1.509371e-02	1.509371e-02	-1.948362e-02	0	1.887919e-02	4.679253e-02	9.255491e-03	9.255491e-03	1.580048e-02	-1.749767e-02	0	5.755679e-03	0	0	0	0	-1.424846e-02	0	-2.388571e-02	-1.613089e-02	-5.130167e-03	-5.130167e-03	-2.560088e-02	0	0	0	0	0	0	-1.798628e-02	0	0	0	-1.962813e-02	-1.962813e-02	0	0	0	0	0	0	1.153122e-02	-2.209436e-02	-2.680388e-04	-3.012040e-03	-2.257250e-03	1.580048e-02	-1.916025e-03	0	4.915109e-03	0	-5.130167e-03	-5.130167e-03	0	0	0	-1.798628e-02	0	-2.278256e-03	-1.962813e-02	0	0	-1.546883e-02	0	0	1.193835e-02	-1.433652e-02	0	-1.007186e-02	-2.481635e-02	0	0	0	0	0	0	0	0
020_pair	7.975193e-04	0	0	-4.153031e-03	-1.400828e-04	-1.400828e-04	0	0	-2.618522e-02	1.929007e-03	3.029619e-03	0	0	-3.937524e-01	7.760893e-06	-6.818960e-04	1.392838e-02	4.232164e-04	4.232164e-04	4.232164e-04	4.796203e-03	0	-2.431649e-03	0	4.217696e-03	4.217696e-03	1.939618e-03	0	6.578863e-04	1.212805e-03	0	0	0	0	2.148610e-02	0	0	0	4.750116e-04	2.515083e-03	2.515083e-03	0	0	-1.309387e-03	-1.309387e-03	0	0	8.516270e-04	0	0	0	-1.279889e-01	2.366557e-03	-9.141363e-04	-9.141363e-04	0	1.274287e-03	0	1.756613e-01	0	-5.505851e-01	1.929007e-03	0	-9.617137e-04	-2.013523e-03	5.317059e-03	0	-7.007557e-03	0	4.750116e-04	2.515083e-03	0	0	0	8.516270e-04	0	-1.487365e-04	2.366557e-03	-9.141363e-04	0	1.016940e-03	0	0	7.975193e-04	0	-1.400828e-04	0	-4.002889e-01	4.477751e-04	0	0	-1.309387e-03	0	-9.141363e-04	0	0
023_pair	-1.898242e-02	-2.452697e-02	-1.630855e-02	1.125529e-03	-1.124850e-02	-1.124850e-02	0	0	5.107370e-03	-7.239782e-03	-7.239782e-03	4.940002e-03	-2.111738e-03	-2.111738e-03	0	1.029795e-03	0	-4.207375e-03	-2.510811e-02	-2.510811e-02	-1.136929e-02	0	-6.403714e-03	0	-1.383294e-02	-1.383294e-02	0	0	0	-1.901315e-02	0	0	-1.223868e-02	-1.223868e-02	0	-9.024770e-01	-1.143856e-02	-9.965046e-03	-1.468275e-02	-3.385676e-03	7.562211e-04	0	0	9.846301e-04	9.846301e-04	0	0	-6.388226e-03	4.340978e-03	0	0	-5.620751e-01	-5.620751e-01	0	0	0	-2.554137e-04	0	0	0	-6.931178e-03	-6.650745e-03	4.940002e-03	-1.023341e-03	0	0	1.229385e-03	-8.274673e-03	-9.024770e-01	-1.468275e-02	7.562211e-04	0	0	0	-6.388226e-03	4.340978e-03	9.824784e-04	-5.620751e-01	0	0	-4.484310e-03	0	0	-1.898242e-02	-2.452697e-02	-1.991417e-03	3.491425e-03	-2.111738e-03	0	0	0	9.846301e-04	0	0	0	0
025_pair	-1.904085e-02	-1.053806e-02	-1.053806e-02	0	-1.610972e-02	-1.366328e-02	0	-4.567665e-03	-1.316000e-02	-2.274244e-03	-2.274244e-03	5.291247e-04	0	-1.137574e-02	-1.178363e-03	0	0	7.319324e-04	-1.252743e-02	-1.252743e-02	-1.134562e-02	-1.657087e-03	-1.039916e-02	4.757871e-03	-1.010547e-03	-1.010547e-03	-7.318358e-03	0	0	-9.511017e-03	0	1.102235e-03	-1.936826e-04	-1.936826e-04	-4.203551e-03	0	-4.008623e-03	-7.711351e-03	-1.962668e-03	-1.962668e-03	0	-4.287627e-03	-4.287627e-03	0	0	5.774236e-03	0	-7.225165e-03	0	0	0	-1.799145e-03	-1.799145e-03	3.213940e-03	3.213940e-03	0	-4.996476e-03	0	-9.288709e-03	-4.567665e-03	-1.680804e-02	-2.274244e-03	5.291247e-04	-2.621490e-03	-7.318358e-03	5.496008e-03	0	-7.016239e-03	0	-1.962668e-03	0	-4.287627e-03	0	-3.775404e-03	-7.225165e-03	0	-9.935056e-03	-1.799145e-03	3.213940e-03	0	-1.089637e-02	0	0	-1.904085e-02	-1.053806e-02	-6.190076e-03	-1.702589e-03	-1.137574e-02	-5.349649e-03	4.757871e-03	1.195327e-02	0	0	3.213940e-03	-8.625479e-03	0
026_pair	-6.162982e-03	-3.428105e-02	-3.428105e-02	0	-3.063932e-02	-2.180421e-02	0	-6.572256e-03	-2.287732e-02	-8.434364e-03	-8.434364e-03	-1.188549e-01	3.333374e-04	-2.306635e-02	0	0	0	5.759243e-04	-2.116173e-02	-2.116173e-02	1.300563e-02	0	-2.474625e-02	1.257538e-02	-1.376690e-02	-1.376690e-02	-1.843523e-02	-1.337452e-02	0	-2.817646e-02	3.708407e-03	4.442731e-03	0	0	0	-9.097720e-01	-3.778613e-02	-1.331974e-02	-2.037981e-02	-9.586659e-01	-4.879631e+00	-1.284266e-02	-1.284266e-02	6.492757e-03	6.492757e-03	0	7.346662e-03	0	5.230731e-03	0	0	-1.217267e-02	-9.145215e-03	1.631443e-03	1.631443e-03	0	-1.058530e-02	0	0	-6.572256e-03	-2.287732e-02	-8.434364e-03	-5.484138e-03	-8.227169e-03	-1.843523e-02	5.171541e-03	-3.249791e-03	1.094563e-03	-9.097720e-01	-2.037981e-02	-9.488248e-01	-1.284266e-02	0	0	0	5.230731e-03	-2.551487e-02	-9.145215e-03	1.631443e-03	0	-9.385605e-03	0	0	-3.986030e-02	-3.428105e-02	0	-3.031652e-03	-2.306635e-02	0	1.257538e-02	1.395386e-02	6.492757e-03	7.346662e-03	1.631443e-03	-1.610683e-03	0
027_pair	8.013315e-04	0	0	0	-3.329821e-04	2.752867e-03	-5.870375e-04	-7.761621e-04	-2.033151e-04	5.821061e-04	5.821061e-04	0	0	8.897343e-04	8.897343e-04	-8.200255e-05	-5.647166e-04	-2.551276e-03	-1.172138e-03	1.277432e-04	5.411820e-03	6.627581e-04	0	-5.675348e-03	3.763079e-03	3.763079e-03	-9.605648e-04	0	0	-2.466596e-03	0	1.840846e-03	-1.880023e-03	-1.880023e-03	7.959617e-04	-2.562422e-03	-5.503879e-05	-3.069087e-03	7.181645e-03	-5.895049e-04	-9.420149e-01	0	0	2.040375e-03	2.040375e-03	0	0	4.694821e-03	4.386701e-03	3.082139e-03	0	-1.942895e-03	-1.942895e-03	0	0	0	0	0	0	-7.761621e-04	1.288227e-03	5.821061e-04	0	-2.639188e-04	-2.339923e-03	2.220232e-04	-6.299791e-04	-2.422331e-03	-2.562422e-03	7.181645e-03	-9.420149e-01	0	0	0	4.694821e-03	4.386701e-03	2.329471e-03	-1.942895e-03	0	0	0	0	0	8.013315e-04	0	2.752867e-03	0	8.897343e-04	0	-2.549140e-04	1.840846e-03	2.040375e-03	0	0	0	-3.653786e-04
030_pair	-5.266839e-03	-2.100928e-05	-2.100928e-05	1.295956e-03	6.577223e-04	6.577223e-04	-9.079926e-04	-9.079926e-04	-1.747946e-03	-9.387862e-04	-9.387862e-04	3.085572e-03	1.144851e-03	0	0	-6.765561e-04	-1.267481e-03	-1.316262e-03	-2.538833e-03	-2.300576e-03	0	0	0	-2.510586e-03	0	0	-2.689187e-03	0	0	-6.225220e-03	0	0	-2.473138e-04	-2.473138e-04	0	-6.922570e-03	-1.360541e-04	-1.360541e-04	-5.158556e-04	3.169038e-03	-9.496678e-01	0	0	3.901930e-04	3.901930e-04	-1.474044e-03	-2.848382e-04	4.082323e-03	-2.674352e-04	0	0	9.199925e-04	9.199925e-04	0	0	0	0	0	0	-9.079926e-04	-6.255434e-02	-9.387862e-04	3.085572e-03	0	-2.689187e-03	2.516474e-04	0	0	-6.922570e-03	5.242912e-03	-8.759823e-01	0	-6.179012e-04	-1.474044e-03	4.082323e-03	-2.674352e-04	0	9.199925e-04	0	0	4.572180e-03	0	0	-5.266839e-03	-2.100928e-05	1.214806e-03	0	0	1.058083e-03	-2.510586e-03	0	3.901930e-04	-2.848382e-04	0	0	0
032_pair	-1.954462e-02	-3.189237e-02	-3.189237e-02	0	-4.383740e-02	-3.220983e-02	0	-5.406575e-03	-2.957576e-03	7.268435e-03	7.268435e-03	-8.837954e-03	-3.000962e-03	-1.570021e-02	4.340087e-03	-1.620989e-03	2.288093e-02	0	0	0	-3.252616e-03	0	-1.159325e-02	0	-3.194626e-02	-3.194626e-02	0	0	0	-4.937803e-02	0	0	-6.993507e-03	-6.993507e-03	-1.803597e-02	2.336883e-03	-2.119016e-02	-1.700061e-02	-8.947922e-03	-2.925470e-02	-2.925470e-02	5.671136e-03	5.671136e-03	1.011096e-03	1.011096e-03	0	0	-1.650405e-02	-2.115911e-03	0	0	0	0	3.732725e-03	3.732725e-03	-2.491874e-02	-5.731848e-03	0	0	0	-2.957576e-03	7.268435e-03	-8.837954e-03	-7.098634e-03	0	2.730767e-03	0	-3.923044e-04	-2.728698e-03	-8.947922e-03	-2.925470e-02	5.671136e-03	0	0	-1.650405e-02	-2.115911e-03	-1.429365e-02	0	3.732725e-03	0	0	0	0	-1.954462e-02	-3.189237e-02	-7.349956e-03	-2.238168e-03	-1.570021e-02	6.539486e-03	0	3.475109e-03	1.011096e-03	0	3.732725e-03	0	0
033_pair	2.004183e-03	8.167516e-05	8.167516e-05	-3.782437e-04	-4.223847e-04	-4.223847e-04	0	0	0	1.874688e-03	1.874688e-03	-4.620818e-05	0	4.044893e-03	2.614226e-03	0	2.396718e-04	3.320767e-03	1.868695e-03	1.868695e-03	-8.759924e-03	-1.859734e-02	1.088653e-02	-4.921171e-03	-2.211798e-03	-2.211798e-03	2.258067e-03	0	0	-4.168035e-03	0	0	0	0	2.991326e-03	0	3.512070e-04	-3.331143e-04	2.188242e-03	2.188242e-03	-3.108279e-01	6.583243e-03	-1.014309e-03	0	0	0	0	-1.429660e-03	-1.586612e-03	0	0	5.555960e-04	5.555960e-04	0	0	0	0	0	0	0	0	1.874688e-03	-4.620818e-05	0	-7.259916e-04	2.112195e-03	-2.144865e-06	-3.656729e-03	0	2.188242e-03	2.188242e-03	6.583243e-03	0	0	-1.429660e-03	-1.586612e-03	6.496160e-03	5.555960e-04	0	0	-1.953735e-03	0	0	2.004183e-03	8.167516e-05	-1.850581e-03	0	4.044893e-03	1.163268e-03	-4.921171e-03	0	0	-4.012627e-03	0	1.030267e-03	0
