pair_id	median_2q13	median_5q35_3	median_7q22_1	median_15q24_2	median_16p11_2	median_19p13_3	median_1q22	median_2p23_3	median_3p22_2	median_12q24_31	median_17q21_32	median_19p13_3_1	median_22q13_2	median_2p15	median_5q35_3_1	median_6p22_1	median_8q22_1	median_12p13_31	median_19p13_11	median_19q13_33
063_pair	0	9.153037e-03	-5.024820e-04	0	5.056772e-06	0	0	1.410593e-03	0	3.260229e-03	-3.101483e-03	0	0	-3.464663e-03	9.153037e-03	-8.546717e-03	3.389939e-02	2.353168e-03	0	5.077996e-03
064_pair	5.118281e-03	4.737282e-03	-3.215140e-04	0	0	-1.062494e-02	-1.036778e-02	0	-2.510816e-03	-1.740629e-02	0	-1.062494e-02	0	-2.392030e-03	4.737282e-03	-3.461001e-03	-5.623901e-02	-1.168882e-02	0	0
082_pair	-1.615841e-03	0	0	0	-5.419559e-03	0	-2.007141e-03	-1.531793e-03	0	-6.086071e-03	0	0	0	0	0	-2.352300e-03	0	-8.446797e-03	0	-2.519455e-03
083_pair	-2.565460e-03	-5.675889e-03	1.111969e-03	0	4.669152e-03	0	0	9.106165e-04	-1.312257e-03	-5.172615e-03	4.027010e-03	0	0	0	-5.675889e-03	9.875955e-04	1.012532e-03	-5.713255e-03	0	-5.335261e-04
084_pair	5.996310e-03	-3.709639e-03	0	-2.066046e-03	8.189656e-04	0	0	6.848944e-06	1.631688e-03	-1.359034e-03	-2.376031e-03	0	-999999999999999	0	-3.709639e-03	1.070154e-03	0	-1.375531e-03	0	-1.621451e-03
090_pair	-4.359241e-03	-2.975541e-03	-1.743207e-03	0	0	0	-1.774631e-03	1.212686e-03	-2.016569e-03	-8.595623e-03	0	0	0	0	-2.975541e-03	-7.222852e-03	0	0	0	-3.903535e-03
1056_pair	4.326076e-04	-4.307645e-03	0	0	3.829544e-03	0	-3.001637e-03	0	4.868001e-04	5.530136e-03	-3.088251e-03	0	0	0	-4.307645e-03	3.940172e-04	0	-2.337015e-03	0	-6.630864e-03
1059_pair	0	0	-1.795649e-03	0	1.331381e-03	4.711655e-03	4.181744e-04	1.872763e-03	0	-6.479979e-04	-999999999999999	4.711655e-03	0	-2.394315e-03	0	-6.709189e-03	0	3.502200e-03	0	0
1076_pair	-3.729664e-03	-4.923260e-03	0	0	-5.080191e-03	-4.198610e-03	0	-5.735809e-04	0	-4.870908e-03	1.112072e-03	-4.198610e-03	0	0	-4.923260e-03	-1.076867e-03	1.816133e-03	1.181793e-01	0	3.447302e-04
1078_pair	-3.546959e-04	-1.464785e-03	-9.105010e-04	0	0	0	0	-3.409997e-04	3.183508e-04	1.787944e-03	-999999999999999	0	0	0	-1.464785e-03	6.810255e-03	5.625533e-04	-8.441464e-04	0	-3.650037e-03
1101_pair	1.839112e-03	-8.323857e-03	-2.668917e-03	0	-7.096146e-03	0	-1.600441e-04	0	1.185815e-03	3.823849e-04	1.571091e-03	0	0	2.848921e-03	-8.323857e-03	-4.716426e-03	-1.450604e-03	8.336584e-03	0	-3.170973e-03
115_pair	-2.346712e-02	-1.551469e-02	5.555727e-03	0	0	1.856215e-02	3.253780e-01	0	-6.878936e-03	0	0	1.856215e-02	0	0	-1.551469e-02	-3.033421e-03	0	-9.792692e-03	0	-2.037079e-03
1164_pair	6.482440e-03	-4.030770e-03	0	0	4.660039e-03	7.093461e-03	-4.355249e-03	0	3.638492e-03	-7.430352e-04	0	7.093461e-03	0	-2.095609e-04	-4.030770e-03	-4.822486e-03	0	1.773888e-03	0	0
1169_pair	-2.464491e-03	-6.998847e-04	1.469920e-03	0	1.846375e-03	9.814961e-03	3.315234e-03	-5.271858e-03	0	-5.721122e-03	-1.961237e-03	9.814961e-03	0	0	-6.998847e-04	0	0	7.078386e-04	0	1.028695e-02
1179_pair	0	-9.198156e-04	0	0	4.874132e-03	0	1.130955e-03	2.501266e-03	-1.198162e-04	-3.692760e-04	-1.753588e-03	0	0	1.499806e-03	-9.198156e-04	0	0	3.106059e-04	0	0
1183_pair	-7.690900e-03	4.653253e-01	-2.412905e-02	0	2.143136e-03	-7.231589e-03	-5.361654e-03	0	-1.466721e-02	-1.218235e-02	-7.758910e-03	-7.231589e-03	0	1.342554e-02	4.653253e-01	-1.021775e-03	0	-2.072611e-02	0	-1.725113e-02
1191_pair	7.761598e-04	-8.125919e-03	0	0	-2.408759e-03	-8.595181e-03	-3.276836e-03	-9.601610e-04	0	-1.047544e-03	0	-8.595181e-03	0	0	-8.125919e-03	-3.241071e-04	0	-7.534189e-03	0	0
1192_pair	1.387969e-03	-1.003567e-03	-1.631123e-03	0	0	0	2.298813e-03	-3.249770e-03	0	-4.133736e-03	3.476732e-03	0	0	0	-1.003567e-03	-1.543438e-03	0	-2.302958e-03	0	0
122_pair	1.185236e-04	2.234293e-04	4.940273e-04	0	9.247323e-05	2.710167e-03	4.000514e-03	-1.130069e-03	0	0	0	2.710167e-03	0	5.436168e-06	2.234293e-04	-1.181898e-03	0	-1.853670e-03	0	5.622437e-04
125_pair	-4.955409e-04	0	-3.436500e-03	-2.212666e-03	8.948011e-04	0	-9.733812e-04	0	-1.348117e-04	1.195478e-03	7.358060e-03	0	-3.762180e-03	0	0	-1.112911e-02	0	5.872047e-03	0	2.353086e-03
1267_pair	-1.984100e-04	0	0	0	-4.739037e-03	0	0	-8.591541e-04	0	-3.554262e-03	-1.785883e-03	0	0	0	0	-1.369758e-03	1.330052e-04	4.244649e-03	0	2.737197e-03
1276_pair	1.382870e-03	1.715797e-03	1.150864e-04	1.305119e-03	9.178138e-04	0	0	0	0	-8.529654e-04	0	0	0	-1.072994e-05	1.715797e-03	4.121622e-03	0	1.350077e-03	0	0
128_pair	-1.318961e-03	7.625161e-04	6.443048e-03	3.115883e-04	-3.185687e-03	0	-2.631334e-03	0	0	3.235472e-03	-1.664396e-03	0	0	8.086731e-03	7.625161e-04	-1.660831e-03	1.144845e-02	6.918764e-04	0	0
1292_pair	3.783210e-05	6.755863e-04	0	-1.874300e-03	0	9.543863e-03	3.390395e-03	0	0	0	-3.855090e-02	9.543863e-03	0	7.634108e-04	6.755863e-04	6.469256e-03	0	1.740489e-02	0	3.540744e-03
1297_pair	0	-6.280975e-03	0	0	-1.466182e-03	0	-1.212822e-02	0	-4.015550e-04	-3.335038e-03	6.233049e-03	0	0	2.709195e-03	-6.280975e-03	-7.882610e-03	1.377677e-02	2.486762e-03	0	0
1319_pair	0	9.896631e-04	0	-2.437214e-03	-8.627601e-04	0	-1.852237e-03	1.117817e-03	-2.316845e-04	-2.804234e-03	-2.439372e-03	0	0	0	9.896631e-04	-2.586385e-03	-7.042861e-04	1.852829e-03	0	-6.618782e-03
1323_pair	2.633526e-04	-2.064185e-03	4.609462e-04	0	-3.741154e-03	-8.189585e-03	-1.264118e-03	0	0	0	0	-8.189585e-03	0	-1.840973e-03	-2.064185e-03	-2.574381e-03	0	1.443092e-03	0	0
1339_pair	4.502551e-04	2.250454e-03	1.527639e-03	0	1.930172e-03	0	-1.526758e-02	0	2.215877e-03	6.687670e-04	0	0	0	7.423429e-04	2.250454e-03	-6.503000e-03	0	3.708523e-03	0	0
1344_pair	5.839394e-03	-6.289776e-03	-3.869462e-03	-1.159347e-03	0	0	-8.686425e-04	1.546171e-03	-4.303434e-04	-3.634670e-03	-9.011307e-03	0	-2.249238e-03	-4.519838e-03	-6.289776e-03	-4.755010e-03	-6.969404e-03	3.929165e-03	0	-5.293180e-03
