pair_id	median_1p	median_1q	median_2p	median_2q	median_3p	median_3q	median_4p	median_4q	median_5p	median_5q	median_6p	median_6q	median_7p	median_7q	median_8p	median_8q	median_9p	median_9q	median_10p	median_10q	median_11p	median_11q	median_12p	median_12q	median_13q	median_14q	median_15q	median_16p	median_16q	median_17p	median_17q	median_18p	median_18q	median_19p	median_19q	median_20p	median_20q	median_21q	median_22q
001_pair	-1.920711e-03	8.498751e-04	4.782692e-03	-7.071498e-04	3.917173e-03	-5.173368e-05	-3.071186e-02	7.478071e-05	7.023388e-04	2.137620e-03	-1.490894e-03	-8.531204e-03	-2.167136e-03	1.050661e-03	1.749511e-03	1.056516e-03	4.839258e-03	1.835152e-04	1.394711e-03	-2.430947e-03	8.802716e-03	1.833828e-03	-4.784789e-03	-4.755503e-03	-1.245157e-03	3.590915e-03	1.849080e-04	1.342897e-03	2.880085e-03	-1.914169e-03	-2.102532e-03	-2.772659e-03	2.520815e-03	1.848178e-03	-5.689498e-03	5.214752e-03	-4.183964e-03	-3.573190e-03	-6.683053e-03
002_pair	6.954193e-04	9.908318e-04	2.881147e-04	-3.152451e-03	3.311662e-03	-4.437984e-04	1.235599e-03	-9.666909e-04	9.054855e-05	6.460635e-04	3.280071e-04	2.512735e-03	-2.318425e-03	-1.587504e-04	4.477524e-04	-7.946965e-04	6.030602e-04	-4.342277e-04	-1.704263e-04	2.143626e-03	2.348965e-03	-5.490850e-04	5.512957e-01	5.541790e-01	-3.924699e-03	3.750888e-03	-9.205340e-05	-3.005261e-03	-7.347288e-04	-2.680682e-01	-1.419883e-03	-2.588430e-03	-6.459799e-04	-8.053306e-03	-6.554916e-03	-8.492138e-04	-5.672453e-03	2.206844e-01	-7.242456e-03
003_pair	1.361026e-03	-4.592250e-04	1.466866e-03	3.382669e-04	7.343150e-03	3.484692e-03	1.342289e-03	-2.721681e-03	-6.629439e-03	5.685405e-03	1.585127e-04	1.460926e-03	0	-1.040847e-04	3.426651e-04	-2.054212e-03	7.563532e-03	2.904217e-03	-1.799046e-04	-1.762576e-03	6.713773e-03	4.146078e-03	-3.659226e-03	-2.512562e-03	-6.116935e-03	2.378448e-03	-9.964906e-04	2.781086e-04	1.857292e-03	-6.604029e-03	-1.055695e-03	-7.527191e-03	2.636626e-03	-9.025586e-03	-1.053006e-03	3.917929e-03	-7.239544e-03	-3.113071e-03	-3.866054e-03
004_pair	-4.084657e-03	2.074192e-03	-1.696005e-03	3.086755e-03	5.012964e-03	5.241775e-03	1.465366e-02	1.085042e-02	4.422696e-03	5.524692e-03	-6.417949e-03	3.619128e-03	-4.579083e-03	4.393033e-03	4.084512e-03	-3.421786e-03	1.414458e-02	-4.505823e-03	-2.747533e-03	-7.730151e-03	1.046704e-02	1.903449e-03	-1.108438e-02	-1.396267e-02	-9.238471e-04	-4.223553e-03	-1.283123e-02	-5.937980e-03	-1.694588e-03	-8.347206e-03	-1.838943e-02	-2.779314e-03	0	-2.242282e-02	-7.620584e-03	-3.108167e-04	-2.186518e-02	1.907236e-03	-1.870140e-02
005_pair	-6.296005e-03	-3.855855e-03	-1.912830e-03	3.335484e-03	7.164082e-04	2.528823e-03	1.231837e-03	2.486550e-03	1.526455e-03	-5.124853e-05	-1.621147e-03	5.593378e-03	1.510892e-03	3.248010e-03	-4.747682e-03	1.317137e-03	1.112166e-04	-3.572139e-03	2.729781e-02	-3.638959e-02	8.224531e-04	-1.612072e-03	5.519829e-01	5.496347e-01	1.554010e-03	-1.355289e-03	-1.049161e-02	-1.199445e-02	-9.375264e-03	-1.082909e-02	-1.029737e-02	0	0	-1.972985e-02	-1.766966e-02	-6.536118e-03	-1.103995e-02	-8.333671e-04	-1.631028e-02
006_pair	-1.666061e-03	-2.907563e-03	-2.120324e-03	4.094296e-03	3.995544e-03	3.346794e-03	6.001662e-04	2.423939e-03	1.008515e-03	4.982333e-03	6.982858e-04	5.863107e-03	1.888081e-03	2.397593e-03	-1.795064e-03	3.722161e-03	2.819400e-03	-5.111069e-04	-2.769706e-03	2.420305e-03	-2.256744e-03	-4.911482e-03	-1.393467e-03	-1.151634e-03	1.016965e-03	-1.569499e-06	-5.481385e-03	-7.607321e-03	-6.167497e-03	-8.424265e-03	-6.129125e-03	1.877283e-03	1.877283e-03	-9.277019e-03	-1.103111e-02	-4.113604e-04	-3.733777e-03	-2.885367e-03	-9.036289e-03
009_pair	-6.162283e-03	-3.430761e-03	-3.264104e-03	3.074311e-03	2.982720e-03	2.690380e-03	1.537374e-02	8.712621e-03	6.113877e-03	-1.438301e-03	-2.350632e-03	2.297411e-03	7.012899e-04	1.022420e-02	3.676728e-03	1.384516e-03	1.811796e-02	-7.357853e-03	-3.982778e-04	-4.018950e-03	-1.985612e-03	-1.393500e-03	-4.491386e-03	-1.140257e-02	6.153828e-03	-1.108851e-02	-1.290496e-02	-2.829700e-03	-3.932054e-03	-1.123436e-02	-1.807754e-02	2.362452e-04	5.064155e-03	-1.047364e-02	-1.377989e-02	1.064537e-03	-3.057787e-02	0	-1.517149e-02
010_pair	-3.348947e-03	6.108878e-04	0	2.195650e-03	6.362053e-04	1.588416e-03	-3.629770e-03	1.603260e-03	-3.524071e-03	4.705675e-03	-2.419666e-03	5.893458e-03	9.869246e-04	5.891405e-03	-3.280503e-03	3.225156e-03	2.253277e-03	2.311947e-04	-1.945865e-03	-1.651372e-03	-2.010891e-03	-4.620829e-04	1.668396e-03	1.668396e-03	-7.930939e-03	-3.295284e-03	-5.495063e-03	-8.904320e-03	-7.693206e-03	-5.979850e-03	-3.110067e-03	-9.266276e-04	3.069236e-03	5.925563e-04	-7.631726e-03	-4.284071e-03	-3.270070e-03	1.313633e-03	-6.881325e-03
012_pair	-2.935928e-03	-4.919485e-04	-2.790286e-04	2.664959e-03	2.844202e-03	4.532485e-03	9.402819e-03	6.154891e-03	1.678734e-03	3.759039e-03	-4.456938e-03	7.214993e-03	3.067230e-04	5.198906e-03	-3.582355e-03	-2.068078e-03	1.242852e-02	-3.345897e-03	-3.912568e-03	-5.323409e-03	8.787106e-03	1.148985e-03	-7.939929e-03	-1.008661e-02	8.607135e-03	-6.731756e-03	-1.000254e-02	-3.668312e-03	-6.588199e-04	-6.786303e-03	-1.224092e-02	6.611413e-03	8.216851e-03	-2.058185e-02	-1.581436e-02	4.891632e-03	-1.916784e-02	-3.156117e-03	-1.098149e-02
015_pair	-2.168219e-03	-2.558966e-03	-2.401763e-03	1.139161e-03	3.726647e-03	3.490592e-03	9.076294e-03	7.461942e-03	3.949744e-03	3.214341e-03	-5.286147e-03	4.106607e-03	-4.162190e-03	2.273934e-03	2.486859e-03	-3.329247e-03	8.900520e-03	-4.745644e-03	-1.674144e-03	-4.926853e-03	3.188676e-03	-5.916908e-05	-8.055617e-03	-6.804847e-03	6.615301e-03	-6.199064e-03	-6.484772e-03	-4.689653e-03	-1.137819e-03	-9.390124e-04	-1.239695e-02	1.103278e-03	1.820213e-03	-1.236796e-02	-2.953241e-03	4.560955e-03	-1.857230e-02	-1.024513e-03	-9.452400e-03
016_pair	-2.301727e-03	7.676318e-04	-6.911571e-04	-2.608427e-03	6.651276e-03	-1.532636e-03	1.026768e-02	5.676866e-01	1.148124e-03	-1.360259e-03	1.861099e-03	-6.977391e-03	-3.356549e-03	-1.980130e-03	-2.637191e-04	-6.332665e-03	7.304418e-03	4.372706e-03	4.146149e-03	-7.246872e-04	3.050454e-03	3.965137e-03	-1.234500e-02	-9.758960e-03	-5.197700e-03	-3.635703e-03	-3.569728e-03	7.271837e-03	6.061104e-03	7.708594e-03	-5.101696e-03	-9.635047e-01	-8.955926e-05	2.986435e-04	1.350841e-02	1.191828e-02	-4.610962e-03	-7.280730e-04	7.038389e-03
019_pair	-3.146132e-03	-6.478172e-03	3.839805e-03	-2.771503e-03	-3.368088e-04	-8.300522e-04	2.390490e-03	-5.056776e-03	5.847928e-03	-4.842348e-03	9.398070e-03	-4.266363e-03	-5.070120e-03	-1.889799e-04	-6.023232e-03	-1.817046e-04	1.035172e-02	2.331755e-03	3.445821e-04	-9.430273e-03	3.489253e-05	3.589263e-03	7.918219e-03	-6.305944e-03	7.021049e-03	0	1.239538e-04	1.917632e-03	5.694693e-03	2.116719e-02	-2.654597e-03	7.218496e-03	7.218496e-03	1.318006e-02	2.005297e-04	1.207794e-02	-1.470362e-02	6.513455e-03	5.811311e-03
020_pair	3.161539e-03	1.400828e-04	5.602674e-01	-1.647188e-03	-3.658153e-04	-4.887661e-04	5.878740e-05	-5.082458e-04	-6.722718e-04	-6.722718e-04	-1.409421e-03	-1.215925e-02	-5.437313e-04	-3.701208e-04	4.446029e-05	-5.298111e-04	2.183838e-04	1.396015e-03	1.546455e-03	1.214712e-03	5.251974e-04	-1.897658e-02	-6.977764e-04	-6.977764e-04	8.497706e-04	2.211120e-03	9.014016e-04	3.942751e-03	-1.091569e-02	-3.637780e-03	1.425286e-03	-2.491780e-02	-1.762752e-04	9.576416e-03	8.114568e-03	-6.307169e-01	4.257119e-03	-3.903690e-04	1.349368e-04
023_pair	-2.409492e-04	-3.897767e-03	-1.698400e-03	3.255800e-03	1.317934e-04	3.241332e-03	3.896920e-03	4.415695e-03	3.544104e-03	3.087633e-03	-4.901865e-03	5.721966e-03	1.388823e-03	-7.115569e-05	-3.637403e-03	4.099164e-03	3.195623e-03	-4.990607e-03	-3.630185e-03	-6.709770e-04	5.746733e-03	-2.337521e-02	2.379268e-04	-8.823332e-04	6.443056e-03	-1.051842e-03	-7.971518e-03	-1.441214e-02	-8.475608e-03	-1.828289e-02	5.447747e-01	1.290663e-03	1.290663e-03	-3.006384e-02	-2.417924e-02	-1.043020e-03	-5.724424e-03	-2.993294e-03	-2.185722e-02
025_pair	-1.767174e-03	-8.814893e-04	-7.063808e-04	2.925430e-04	3.017976e-03	4.682292e-03	7.738786e-03	4.433028e-03	2.883443e-03	2.883443e-03	-3.746054e-03	3.678323e-03	-3.104587e-03	2.108870e-03	2.882308e-03	-8.165805e-04	7.433270e-03	-4.627864e-03	9.679070e-04	-4.510319e-03	4.358353e-03	1.010067e-05	-5.222105e-03	-8.416901e-03	2.926877e-03	-3.380776e-03	-8.740993e-03	-1.103396e-03	-1.397208e-03	-8.464993e-03	-9.475901e-03	-4.418144e-03	4.207335e-03	-1.382217e-02	-1.233824e-02	3.879400e-03	-1.468466e-02	-1.527744e-03	-1.050110e-02
026_pair	5.796346e-04	4.189870e-04	4.300237e-03	3.189698e-03	2.303351e-03	0	1.005111e-02	9.709708e-03	5.901411e-03	2.868380e-03	-5.992460e-03	3.165623e-03	-6.380377e-03	3.503879e-03	-1.904931e-03	4.134492e-04	8.672982e-03	-4.223789e-03	-7.480514e-03	-5.274318e-03	-4.356289e-03	-2.803187e-02	-5.641934e-03	-1.061710e-02	6.210738e-03	-2.181018e-03	-1.829493e-02	-9.622852e-03	-1.927472e-03	-1.502362e-02	-1.846319e-02	-1.264613e-02	6.602526e-03	-2.959961e-02	-1.975541e-02	5.578985e-03	-2.579174e-02	-5.041543e-03	-2.212384e-02
