pair_id	median_1p	median_1q	median_2p	median_2q	median_3p	median_3q	median_4p	median_4q	median_5p	median_5q	median_6p	median_6q	median_7p	median_7q	median_8p	median_8q	median_9p	median_9q	median_10p	median_10q	median_11p	median_11q	median_12p	median_12q	median_13q	median_14q	median_15q	median_16p	median_16q	median_17p	median_17q	median_18p	median_18q	median_19p	median_19q	median_20p	median_20q	median_21q	median_22q
027_pair	4.492204e-05	2.092956e-05	1.128125e-04	3.768093e-04	1.711752e-04	-1.660956e-04	2.614776e-04	6.461579e-05	-1.194754e-03	-1.092972e-04	7.609020e-04	-2.109692e-04	-1.863956e-03	-3.809623e-04	4.887832e-04	-1.090535e-03	0	-2.830626e-04	2.938499e-04	-1.603154e-04	-3.145115e-04	1.990093e-03	-1.779548e-03	-1.130917e-03	-3.118740e-04	9.696061e-04	-1.305615e-03	1.205474e-03	5.502036e-04	1.851340e-03	1.780371e-03	2.130005e-03	-5.973125e-04	4.777471e-03	1.948377e-03	-1.952452e-03	1.453025e-04	-1.310795e-03	1.812233e-03
030_pair	-6.078981e-04	-1.570606e-03	5.847224e-02	-7.400795e-04	-6.199316e-04	-3.863483e-04	-1.761033e-03	-7.202113e-04	-1.932827e-03	2.832849e-04	5.214263e-04	6.958807e-04	6.123243e-04	2.250177e-05	-2.497113e-02	5.466422e-04	-3.637131e-04	0	-1.352754e-03	-3.577989e-05	1.978175e-03	1.272789e-03	4.581965e-04	1.169903e-03	-6.134224e-05	7.635543e-04	-4.474457e-04	-1.045556e-03	-1.913821e-03	6.550146e-04	-2.649779e-04	-2.380803e-02	-2.163473e-03	4.380147e-03	1.734546e-03	-2.662697e-03	4.995704e-04	7.709050e-04	6.871929e-04
032_pair	-8.429398e-03	-4.463851e-03	-1.159686e-03	0	8.100596e-03	-1.373059e-03	6.019450e-03	9.863532e-03	7.396939e-03	2.974412e-03	-6.402050e-03	2.828488e-03	1.231880e-04	2.025422e-03	-2.007793e-03	-5.308590e-03	4.533843e-03	-2.966594e-03	-2.561244e-03	-1.438399e-03	-9.186615e-03	4.924523e-03	5.295295e-01	5.279444e-01	1.297548e-02	-6.852451e-03	-2.015554e-02	-1.280594e-02	-7.775444e-04	-1.971568e-02	-3.456936e-02	-9.162158e-04	6.108447e-03	-6.206799e-02	-3.726280e-02	1.171565e-03	-2.860645e-02	-2.230153e-03	-3.471965e-02
033_pair	1.066778e-03	9.446861e-04	-1.210381e-03	-1.621526e-03	-4.670384e-04	-5.754196e-04	1.189228e-03	-6.228415e-04	1.089323e-04	-1.439658e-03	2.659867e-03	-1.161937e-02	-5.603826e-04	-2.258918e-03	-7.958074e-04	-2.301596e-03	-3.073078e-04	3.115877e-04	-3.727392e-04	9.867291e-04	3.339871e-04	-1.935895e-03	2.338426e-02	2.405148e-02	-3.174191e-04	-8.817792e-04	2.258270e-03	2.039519e-03	2.628728e-03	-2.783269e-02	5.047182e-03	2.732708e-03	0	2.196321e-03	-1.347715e-03	-2.203516e-02	3.417423e-03	-1.525612e-03	-1.599565e-04
039_pair	-5.355289e-04	1.532846e-03	-1.122053e-03	-2.174444e-04	9.426030e-04	9.813161e-04	-3.997101e-04	2.158868e-03	2.130652e-03	9.138315e-04	-1.828869e-03	2.148499e-03	9.096140e-04	-4.378557e-05	-1.753711e-03	1.441711e-03	1.690556e-03	-1.097401e-03	-9.528800e-04	-1.833385e-03	1.407668e-04	1.505779e-04	-6.583762e-04	-2.256790e-03	2.483251e-03	1.685984e-04	-8.875966e-04	-5.654969e-03	-3.905959e-03	-7.495164e-04	-3.392605e-03	-7.415959e-05	9.248459e-04	-1.966042e-03	-1.993837e-03	-1.532247e-03	-3.353057e-04	0	-3.190585e-04
044_pair	-8.049642e-05	-1.924589e-03	2.398212e-03	1.615996e-03	1.153306e-03	1.222422e-03	-1.091074e-03	2.324229e-03	-1.620895e-03	5.257453e-04	-1.555760e-03	1.626788e-03	7.863874e-04	3.117699e-03	-8.298653e-04	1.606046e-03	-8.803954e-05	-1.457591e-03	2.284112e-03	0	-2.025889e-03	-1.489173e-03	1.849198e-03	-9.796747e-05	2.759163e-03	-2.598037e-03	-3.951874e-03	-7.043997e-03	-5.359586e-03	-2.687654e-03	-1.309325e-03	-6.175367e-04	7.090654e-04	1.142798e-04	-2.555788e-03	-9.543830e-03	-4.906634e-03	-9.131873e-04	-1.921269e-03
048_pair	-4.743347e-03	-8.251625e-04	-4.884853e-03	-3.299430e-03	-1.074164e-03	4.358630e-01	1.273098e-03	1.255814e-02	2.926051e-03	-4.126426e-03	1.598410e-03	5.512333e-04	1.888207e-03	4.847776e-03	3.111950e-03	-4.946594e-03	7.618854e-03	-1.387479e-03	3.268333e-03	-2.059246e-03	5.996758e-03	-1.646906e-03	-1.550025e-03	1.641744e-04	6.366477e-03	-4.741218e-03	-8.715436e-03	3.710799e-03	1.662472e-03	-4.335505e-02	-8.852201e-03	-1.575084e-02	5.310255e-03	8.487526e-03	6.412933e-03	3.428571e-03	-3.757167e-03	-6.041346e-04	3.349360e-03
056_pair	3.896794e-03	1.454070e-03	1.749606e-03	5.834616e-04	5.434150e-05	-2.638051e-03	-1.488479e-03	-2.407348e-03	-1.317431e-03	-2.566643e-03	1.693217e-04	-1.289544e-03	-1.575317e-03	-2.671125e-04	3.034258e-03	-2.474037e-03	-6.569047e-04	2.621463e-03	0	-5.487042e-04	-1.227772e-06	4.046338e-04	-3.091466e-03	-3.273599e-03	-1.612436e-03	2.849340e-03	3.107342e-03	1.008445e-02	4.645484e-03	6.253303e-03	4.976926e-03	-3.856754e-04	-1.210300e-03	9.080703e-03	9.080703e-03	2.377951e-03	8.015440e-03	2.309177e-03	9.378137e-03
058_pair	-4.254551e-03	7.468013e-04	6.626783e-03	1.895668e-03	3.235014e-03	1.411603e-03	3.085956e-03	3.555378e-05	-1.931215e-03	3.530571e-04	-1.610631e-03	-5.106189e-04	5.685490e-03	-1.464158e-03	2.041278e-04	-3.498953e-04	3.064275e-03	3.765669e-03	-3.143766e-03	2.228681e-03	3.747456e-03	-1.612802e-02	-1.156962e-03	-1.038104e-02	3.418194e-03	-1.433657e-03	-6.726289e-03	-2.056735e-02	-5.452029e-03	-9.637551e-03	-2.042642e-02	-4.251103e-03	8.537209e-03	-4.290643e-02	-3.438483e-02	1.126214e-02	-1.439419e-02	3.397309e-03	-1.282942e-02
060_pair	-1.643433e-03	-6.019280e-03	1.535792e-03	-1.644089e-03	-1.051299e-03	2.350465e-04	2.986184e-03	4.843076e-03	1.674233e-03	-3.930030e-04	-6.713999e-03	-1.321650e-03	3.719047e-03	9.079108e-04	-2.086863e-03	-1.329225e-03	-2.244230e-03	-8.799969e-03	-1.332558e-02	4.475254e-04	2.848152e-03	-2.084229e-03	5.526691e-01	5.526191e-01	7.687756e-03	-5.775321e-04	-8.095433e-03	-1.557924e-02	-5.708664e-03	-2.039620e-02	-1.563323e-02	1.635239e-03	1.635239e-03	-4.084844e-02	-2.571486e-02	9.807389e-04	-1.242630e-02	1.870382e-04	-1.954115e-02
063_pair	1.548253e-03	4.442917e-04	-1.875976e-04	1.212596e-03	-1.525008e-03	0	-1.636664e-03	-1.399251e-03	-1.045820e-03	-1.608978e-03	-1.513596e-03	-4.845427e-03	-2.142864e-03	-3.120029e-04	1.609502e-03	-9.542055e-04	3.735508e-04	1.660186e-03	1.082122e-03	1.566614e-03	-1.542617e-03	2.196935e-03	-1.871314e-03	-2.490206e-03	4.384567e-04	-5.155859e-04	-1.526571e-04	3.612976e-03	-2.638473e-04	6.293082e-03	4.036124e-03	4.472312e-03	3.552355e-04	1.176224e-02	5.858322e-03	1.452376e-03	1.028655e-02	1.387925e-03	9.158029e-03
064_pair	-4.452365e-03	-4.330557e-04	-1.367198e-03	5.979901e-04	1.882102e-03	-1.766950e-03	5.805025e-03	1.247653e-03	-2.813355e-04	-1.124647e-03	-4.109844e-03	1.408356e-03	1.535705e-03	-3.262663e-03	-2.344221e-04	5.643699e-01	3.687611e-03	-1.183983e-03	-7.818592e-03	2.297213e-03	-7.258477e-04	8.405824e-04	5.518158e-01	5.481266e-01	9.218257e-04	-1.364320e-03	-5.503208e-03	-1.207147e-02	-7.948181e-04	-9.591801e-03	-1.568931e-02	1.622823e-04	2.098107e-03	-3.395002e-02	-1.211942e-02	1.142222e-02	-6.224358e-03	-2.527236e-03	-1.612583e-02
082_pair	-2.803635e-03	-9.693096e-04	-6.445188e-04	7.827264e-04	-1.208324e-05	-9.999560e-06	1.785743e-04	2.390470e-03	2.219810e-04	2.219810e-04	-1.735896e-03	3.803173e-03	4.575809e-04	9.066871e-04	2.224727e-03	-4.233180e-04	1.213901e-03	-1.531442e-03	-1.924285e-03	-1.220520e-03	-4.613626e-04	-1.091364e-03	5.606182e-01	5.588364e-01	1.437264e-03	2.493303e-03	-2.058184e-03	-5.969276e-03	-1.273331e-03	-3.165291e-03	-3.583405e-03	-3.793203e-04	-3.176504e-04	-7.116007e-03	-6.102569e-03	0	-6.629869e-03	3.214608e-04	-5.065946e-03
083_pair	4.096706e-04	1.543297e-03	4.446592e-03	8.377327e-04	-9.958484e-05	-5.848511e-04	-1.392438e-04	2.218952e-03	1.549425e-03	1.473569e-03	-1.276825e-03	-7.086513e-04	7.177526e-04	1.218692e-03	-1.678329e-03	2.577283e-04	1.156241e-03	-1.282616e-03	-1.245721e-03	-1.685332e-03	2.300594e-03	-3.302018e-04	-2.343790e-03	-3.410490e-03	1.156877e-03	1.802930e-03	-1.160358e-03	-4.859336e-03	-1.267242e-03	-1.879129e-03	-3.225600e-03	-1.085440e-03	-1.101835e-03	-3.072547e-03	-4.178774e-03	-2.851613e-03	-1.683028e-03	-1.864070e-03	-3.978785e-03
084_pair	1.364294e-03	8.985785e-04	-8.744672e-04	-4.298117e-04	1.229566e-03	-7.642663e-04	-1.694234e-03	-3.346066e-04	-2.900590e-04	-4.482407e-04	1.151500e-04	9.287930e-04	-4.304766e-04	9.424852e-04	5.586190e-06	-2.282367e-04	-5.684069e-04	1.466673e-03	-4.699288e-04	5.118217e-04	7.892469e-04	9.741605e-04	-3.155717e-03	-3.175748e-03	-2.830221e-04	3.988844e-03	2.027883e-03	2.342191e-03	4.374437e-04	-8.117027e-04	1.578293e-03	-1.022388e-03	-1.543962e-04	8.856226e-03	1.535627e-03	-2.164104e-04	5.606258e-04	5.249727e-04	2.209075e-03
090_pair	-4.696014e-03	1.287582e-04	-1.212686e-03	4.486060e-04	-5.719268e-04	1.018132e-03	1.710631e-03	3.462204e-03	1.898807e-03	-1.321651e-04	-1.945794e-03	3.073467e-03	2.508059e-03	2.321643e-03	-3.545947e-03	2.159522e-03	3.988656e-03	-2.201926e-03	-1.981170e-03	-2.485143e-03	-2.566201e-04	-1.435834e-03	4.858736e-04	-1.367143e-03	4.690980e-03	-1.682219e-03	-4.947271e-03	-6.554185e-03	-4.727659e-03	-1.752095e-03	-4.816520e-03	9.049167e-05	1.686236e-03	-1.184043e-02	-1.240537e-02	-1.008009e-03	-8.155082e-03	2.639362e-03	-7.153815e-03
1056_pair	9.487636e-04	3.727214e-04	-1.366370e-03	1.781018e-03	9.991769e-04	-2.349443e-03	-1.982790e-03	-2.280001e-03	3.078016e-03	3.540946e-04	7.191309e-04	-2.600810e-03	1.443332e-03	-2.097577e-03	-1.956893e-03	-4.994356e-03	-2.506949e-03	5.674466e-04	1.689538e-03	2.561841e-04	-3.544306e-03	6.510520e-04	-5.146653e-03	-5.460671e-03	1.216101e-03	1.720547e-03	2.675849e-03	1.827071e-03	4.373530e-04	-1.037021e-02	-1.258004e-03	1.663116e-03	2.327022e-03	-2.131539e-03	3.075397e-03	-6.432156e-05	4.780023e-03	2.491359e-03	1.371051e-03
1059_pair	-3.001982e-04	-2.457233e-03	4.804402e-03	9.891712e-04	3.000533e-03	-1.128152e-03	3.990635e-03	-3.912187e-04	-6.358165e-04	5.136926e-04	2.967233e-03	1.300313e-03	2.404717e-03	-2.167147e-03	-7.423032e-04	1.632196e-03	-2.996918e-03	-8.983027e-04	-6.815081e-03	7.537027e-04	2.169830e-04	-2.992837e-03	4.092820e-04	-3.678758e-03	1.590993e-03	9.276232e-04	-4.310631e-04	-6.421060e-03	-1.529411e-03	-3.006763e-03	-5.105234e-03	-4.965105e-03	3.945665e-03	-8.669345e-03	2.265288e-03	2.004317e-03	-3.366869e-03	1.904146e-03	-3.409548e-03
1076_pair	-1.095965e-03	0	-1.248822e-03	2.003404e-03	1.950149e-03	1.123993e-03	2.029616e-03	5.092673e-03	2.929422e-03	2.929422e-03	-2.736272e-03	3.836326e-03	-1.463555e-03	1.990113e-03	-2.086735e-03	3.264937e-03	-4.453839e-03	-1.764738e-03	-6.629652e-04	-3.917685e-03	1.527244e-03	-2.925064e-03	-1.417275e-02	-2.793752e-03	1.337042e-03	-7.589377e-04	-1.009847e-02	-5.419656e-03	-4.362304e-03	-5.347659e-03	-6.927811e-03	-1.031232e-02	9.395728e-04	-8.135383e-03	-1.297788e-02	-1.041092e-03	-1.351340e-02	-2.383000e-03	-9.303365e-03
1078_pair	-8.639886e-04	6.885077e-05	-1.232487e-03	-7.684966e-04	3.046787e-04	-3.211129e-04	7.011749e-04	-9.111399e-04	-6.463269e-04	-1.328133e-03	0	-2.244252e-04	2.716694e-04	1.150727e-04	1.361883e-03	4.938898e-05	-2.432374e-04	1.243999e-03	-1.884610e-04	-9.515007e-04	1.212807e-03	8.534355e-04	-4.036236e-03	-3.471957e-03	1.823827e-03	1.046191e-03	2.505968e-04	-4.247636e-04	8.300300e-04	1.872523e-03	6.565864e-05	-2.329327e-03	-6.921015e-04	3.523225e-03	-2.393594e-04	2.016973e-03	2.575779e-03	-1.635787e-04	-1.095245e-04
1101_pair	-4.429185e-05	-9.644300e-05	1.998639e-03	-2.614292e-05	5.781129e-04	1.567657e-04	-4.349067e-04	-2.144473e-03	-8.560548e-04	-6.094059e-05	-1.702491e-04	-1.589866e-03	1.495135e-03	-8.681964e-04	-3.766778e-04	-1.132706e-03	6.545252e-04	-3.766119e-05	-4.262372e-03	1.137667e-03	-8.925931e-04	1.595888e-03	-4.765627e-03	-4.357688e-03	1.210504e-03	1.320226e-03	1.984652e-04	-1.429275e-03	7.083893e-04	-1.067520e-03	-1.435944e-03	-1.464448e-03	1.228131e-03	8.648739e-04	2.666035e-03	3.465259e-03	1.053209e-03	2.660891e-04	1.793224e-03
115_pair	-3.536492e-03	-4.052289e-03	-7.731714e-03	1.083130e-02	-3.120166e-03	7.615450e-03	-3.541072e-03	3.004327e-03	1.912033e-03	7.136241e-03	-5.996787e-03	8.399730e-03	5.526154e-03	5.084952e-03	3.608088e-03	3.608088e-03	7.100983e-03	-6.476500e-03	-4.567143e-03	-3.659489e-03	-3.278923e-03	-1.697330e-03	3.757171e-03	1.817938e-03	6.449945e-04	-2.098475e-03	-1.548682e-02	-1.569557e-02	-2.036954e-02	-1.368940e-02	-1.064550e-02	4.667212e-04	4.667212e-04	-1.856215e-02	-1.710789e-02	-8.196394e-03	-8.990513e-03	-1.032058e-02	-1.981394e-02
1164_pair	4.649007e-04	2.190549e-03	-1.040890e-04	5.559107e-04	5.218209e-04	-8.831646e-04	1.226553e-04	-5.558993e-05	3.546659e-04	-8.680748e-05	8.864875e-04	-2.680712e-05	1.997250e-03	1.062856e-03	-2.464709e-03	-9.687570e-04	3.530800e-04	-3.432831e-04	-3.030570e-03	4.807754e-04	3.194411e-04	2.415284e-03	-4.783052e-03	-3.732334e-03	-7.017970e-03	1.499451e-04	-1.597425e-03	-3.546729e-03	-5.347039e-04	1.734777e-03	-2.831319e-03	-1.478041e-03	-2.834505e-04	-9.330790e-03	-5.056682e-03	4.915766e-04	3.624542e-04	-1.946233e-03	-6.261388e-04
1169_pair	-1.338767e-03	-3.315234e-03	7.066747e-04	1.159430e-03	2.087635e-04	7.850728e-04	-3.534146e-04	1.749775e-03	-4.458329e-03	1.224906e-03	1.655914e-03	3.622257e-03	4.048603e-04	5.396542e-05	1.954117e-03	1.099776e-03	-2.234239e-03	-3.433811e-03	-8.445535e-03	-1.138180e-03	-2.534571e-03	-1.543057e-03	5.516937e-01	5.532026e-01	1.679386e-03	-7.118582e-03	-4.084344e-03	-1.100228e-02	-7.592447e-03	-7.582094e-03	-6.171672e-03	-5.799116e-03	-2.037590e-03	-1.490055e-02	-5.884181e-03	-2.372487e-03	-6.399510e-03	-3.613748e-03	-6.665286e-03
